Headline,Service Provider,Rating,Review Text,Place,Type,cleaned_rev,overall_sentiment,positive_score,neutral_score,negative_score,positive_aspects,negative_aspects
Moderate service,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken Life Insurance policy directly through LIC agent .This was  a maturity benefit policy for the tenure of 21 years.I am paying the premium on monthly basis .I am paying the premium through online .This policy is still alive and all the details about the policy was clearly explained by the agent.,bangalore,Life Insurance,I have taken Life Insurance policy directly through LIC agent This was a maturity benefit policy for the tenure of 21 yearsI am paying the premium on monthly basis I am paying the premium through online This policy is still alive and all the details about the policy was clearly explained by the agent,positive,0.89,0.11,0,,
Worst Life Insurance Company Ever,HDFC LIFE,0,"HDFC Life is one of the worst companies you would want to take your life insurance from. I am writing this review with my personal experience + experiences of some other users who purchased the policy. They are running a scam where about 1 yr after issuing your policy, they automatically cancel it, citing ""non disclosure of pre-existing illness"" as the reason. The same thing happend with me and many others. I have no such reported illness of any kind. And even if I had, why was the policy issued in the first place? Upon my request to provide an explanation or more detail about this 'illness', no respone was given to me, neither by HDFCLife nor by Policybazaar, through which I had purchased this policy. I was cheated of my one-year premium amount and my policy was lapsed.

If you are at all serious about preserving your mental and financial well-being, do not go anywhere near any of these two companies. They are the biggest fraud in the life insurance market.",jaipur,Life Insurance,HDFC Life is one of the worst companies you would want to take your life insurance from I am writing this review with my personal experience experiences of some other users who purchased the policy They are running a scam where about 1 yr after issuing your policy they automatically cancel it citing non disclosure of preexisting illness as the reason The same thing happend with me and many others I have no such reported illness of any kind And even if I had why was the policy issued in the first place Upon my request to provide an explanation or more detail about this illness no respone was given to me neither by HDFCLife nor by Policybazaar through which I had purchased this policy I was cheated of my oneyear premium amount and my policy was lapsed If you are at all serious about preserving your mental and financial wellbeing do not go anywhere near any of these two companies They are the biggest fraud in the life insurance market,negative,0,0,1,,"companies, HDFC Life"
Good Service,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken Life Insurance policy directly through LIC agent .This was a maturity benefit policy for the tenure of 15 years .This policy is still alive and got  all the relevant details about the policy through the agent .The policy documents was shared on time .I am comfortable with the service.,bangalore,Life Insurance,I have taken Life Insurance policy directly through LIC agent This was a maturity benefit policy for the tenure of 15 years This policy is still alive and got all the relevant details about the policy through the agent The policy documents was shared on time I am comfortable with the service,positive,1,0,0,"service, policy",
Good Service,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken Life Insurance policy which was taken through LIC agent.This was an endowement policy and paying the premium on yearly basis .The policy tenure is  for 15 years and paying the premium through the agent .This policy is still active and i am comfortable with the service .,pune,Life Insurance,I have taken Life Insurance policy which was taken through LIC agentThis was an endowement policy and paying the premium on yearly basis The policy tenure is for 15 years and paying the premium through the agent This policy is still active and i am comfortable with the service,positive,1,0,0,"service, policy",
budget Plans,BAJAJ ALLIANZ LIFE INSURANCE,5,"Bajaj Allianz life insurance is very flexible. I have taken a policy. The Premium was given as per my budget. Plans and benefits are great, If anyone wants to go a life insurance my first suggestion will be Bajaj Allianz life insurance. Thanks",chennai,Life Insurance,Bajaj Allianz life insurance is very flexible I have taken a policy The Premium was given as per my budget Plans and benefits are great If anyone wants to go a life insurance my first suggestion will be Bajaj Allianz life insurance Thanks,positive,1,0,0,"benefits, Plans, Bajaj Allianz life insurance",
Good Policy,LIFE INSURANCE CORPORATION OF INDIA,5,I took my life insurance policy from LIC  around 5 years back and this policy is going to matured in the year of 2026. It was for the safety and protection for the family. I have selected the payment option as very half year and i pay the premium amount of Rs. 2000. I will give the cash to my agent and he will pay in the LIC office.,bangalore,Life Insurance,I took my life insurance policy from LIC around 5 years back and this policy is going to matured in the year of 2026 It was for the safety and protection for the family I have selected the payment option as very half year and i pay the premium amount of Rs 2000 I will give the cash to my agent and he will pay in the LIC office,positive,0.96,0.04,0,,
Safe and secure policy,LIFE INSURANCE CORPORATION OF INDIA,5,"LIC policy is safe and if you have a long term policy, it will be useful. If i go to their office, the response is fine. They have a good portal to know about the payment premium amount and existing policy details. I make the premium through online. I took the money back policy and it got matured already.",bangalore,Life Insurance,LIC policy is safe and if you have a long term policy it will be useful If i go to their office the response is fine They have a good portal to know about the payment premium amount and existing policy details I make the premium through online I took the money back policy and it got matured already,positive,1,0,0,"portal, response, LIC policy",
Good security policy,LIFE INSURANCE CORPORATION OF INDIA,3,"In LIC website, they are updating the policy details on a timely basis. I took my retirement plan in life insurance corporation of India. For the safety purpose, i have selected this company. I am investing the money of Rs. 10K every month. I get the returns after my age of 56. This is a tax benefitable policy.",haridwar,Life Insurance,In LIC website they are updating the policy details on a timely basis I took my retirement plan in life insurance corporation of India For the safety purpose i have selected this company I am investing the money of Rs 10K every month I get the returns after my age of 56 This is a tax benefitable policy,positive,0.97,0.02,0,,
Service should be improved,LIFE INSURANCE CORPORATION OF INDIA,3,I have taken money back policy from LIC its because of the safety reason. I have been investing the money of Rs. 10K every month. I purchased the policy 4 years ago. They are providing the sum assured amount of Rs. 1.2 lakhs. This is a tax beneficial policy. I make the premium amount through online.,haridwar,Life Insurance,I have taken money back policy from LIC its because of the safety reason I have been investing the money of Rs 10K every month I purchased the policy 4 years ago They are providing the sum assured amount of Rs 12 lakhs This is a tax beneficial policy I make the premium amount through online,positive,0.99,0.01,0,policy,
Good policy,LIFE INSURANCE CORPORATION OF INDIA,5,"I didn't use the customer care service till now in LIC where i have taken my life insurance policy. I'm not sure about the plan name but i pay the premium every year once. I have been paying the premium amount of Rs. 17699 and total term period of the plan is 16 years. For the savings purpose, i have chosen LIC.",bangalore,Life Insurance,I did not use the customer care service till now in LIC where i have taken my life insurance policy I Am not sure about the plan name but i pay the premium every year once I have been paying the premium amount of Rs 17699 and total term period of the plan is 16 years For the savings purpose i have chosen LIC,positive,0.78,0.19,0.03,,
Best service ,LIFE INSURANCE CORPORATION OF INDIA,3,I have taken Life Insurance policy directly through LIC agent .This policy tenure is 10 years .I am paying the premium through Half yearly basis and paying the premium through Online .The agent gave a clear picture about the policy and not yet faced any difficulties .I am satisfied with the service so far .,mumbai,Life Insurance,I have taken Life Insurance policy directly through LIC agent This policy tenure is 10 years I am paying the premium through Half yearly basis and paying the premium through Online The agent gave a clear picture about the policy and not yet faced any difficulties I am satisfied with the service so far,positive,0.97,0,0.03,service,
Excellent,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken a life insurance in LIC since 1990. This policy term is 20 years. I am paying premium on monthly package and the amount which is nominal. I am paying premium in a cheque mode. While getting a policy my agent has given an information about the policy details and this is a money back policy.,kolkata,Life Insurance,I have taken a life insurance in LIC since 1990 This policy term is 20 years I am paying premium on monthly package and the amount which is nominal I am paying premium in a cheque mode While getting a policy my agent has given an information about the policy details and this is a money back policy,neutral,0.18,0.81,0.01,,
Good Service,LIFE INSURANCE CORPORATION OF INDIA,2,I have taken Life Insurance policy taken through LIC agent.This was a Maturiy benefit policy  and each and every details was shared by the agent .This policy is still active and there was no difficulties faced as well. Overall am happy with it.,surat,Life Insurance,I have taken Life Insurance policy taken through LIC agentThis was a Maturiy benefit policy and each and every details was shared by the agent This policy is still active and there was no difficulties faced as well Overall am happy with it,positive,1,0,0,policy,
Good insurer,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken a life insurance in LIC on 9 years before. Tenure period of policy is 20 years. I am paying premium on quarterly package the amount of 3K which is nominal. Agent is my neighborhood so he has given an information about this policy. It covers my whole family.,pune,Life Insurance,I have taken a life insurance in LIC on 9 years before Tenure period of policy is 20 years I am paying premium on quarterly package the amount of 3K which is nominal Agent is my neighborhood so he has given an information about this policy It covers my whole family,positive,0.71,0.28,0.01,,
Best policy,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken a life insurance in LIC on 3 years before. The policy is for 16 years. I am paying premium on monthly package the amount of Rs. 17k which is nominal. I am paying premium manually. While getting a policy my agent has given an information about the policy details. It covers myself. It is a jeevan anadha policy,chennai,Life Insurance,I have taken a life insurance in LIC on 3 years before The policy is for 16 years I am paying premium on monthly package the amount of Rs 17k which is nominal I am paying premium manually While getting a policy my agent has given an information about the policy details It covers myself It is a jeevan anadha policy,positive,0.51,0.47,0.01,,
Good Investment plan,,5,LIC plan is a savings cum income plan and i get the good returns in future. Its covers for life. I took the policy through agent who is my relative recommended me about this policy. My father is taking care of the premium part hence I'm not sure about the coverage value.,bangalore,Life Insurance,LIC plan is a savings cum income plan and i get the good returns in future Its covers for life I took the policy through agent who is my relative recommended me about this policy My father is taking care of the premium part hence I Am not sure about the coverage value,positive,0.99,0,0,LIC plan,
Best policy,LIFE INSURANCE CORPORATION OF INDIA,5,"I have taken a life insurance policy from  LIC more than 5 years.The agent is very supportive and providing proper guidance and this is a JEEVAN ANAND policy. Policy is valid for life long and the tenure is 20 years after some years. I am paying annual premium is Rs.24k, this is a death benefit plan after that my wife  will be getting some returns.",chennai,Life Insurance,I have taken a life insurance policy from LIC more than 5 yearsThe agent is very supportive and providing proper guidance and this is a JEEVAN ANAND policy Policy is valid for life long and the tenure is 20 years after some years I am paying annual premium is Rs24k this is a death benefit plan after that my wife will be getting some returns,positive,0.99,0,0,"agent, guidance, Policy",
Good cover for entire life,LIFE INSURANCE CORPORATION OF INDIA,5,Chosen the life insurance policy from LIC its because of the good benefits. Jeevan policy has a coverage till life time. I have not paid the premium for a couple of years even though they are giving a proper reminders every year. This is a tax cover policy.,pune,Life Insurance,Chosen the life insurance policy from LIC its because of the good benefits Jeevan policy has a coverage till life time I have not paid the premium for a couple of years even though they are giving a proper reminders every year This is a tax cover policy,positive,1,0,0,,
Best insurance ,BHARTI-AXA LIFE INSURANCE,5,I have taken a BHARTI-AXA LIFE INSURANCE more than 2 years. The policy is for 15 years term . I am paying premium on monthly package the amount which is nominal and i will do cheque payment. While getting a policy they given an information about the policy details. It covers myself.,hyderabad,Life Insurance,I have taken a BHARTIAXA LIFE INSURANCE more than 2 years The policy is for 15 years term I am paying premium on monthly package the amount which is nominal and i will do cheque payment While getting a policy they given an information about the policy details It covers myself,neutral,0.09,0.91,0,,
Best  Service,LIFE INSURANCE CORPORATION OF INDIA,4,"I have taken Life Insurance policy direclty through LIC agent.The policy tenure is for 20 years and paying the premium on quarterly  basis .I will be paying the premium through the agent.The policy details was clearly explained by the agent ,Still this policy is active.I am paying Rs.15,000 premium for this policy.",sikar,Life Insurance,I have taken Life Insurance policy direclty through LIC agentThe policy tenure is for 20 years and paying the premium on quarterly basis I will be paying the premium through the agentThe policy details was clearly explained by the agent Still this policy is activeI am paying Rs15000 premium for this policy,neutral,0.43,0.54,0.04,,
Best  Service,LIFE INSURANCE CORPORATION OF INDIA,4,"I have taken Life Insurance policy direclty through LIC agent.The policy tenure is for 30 years and paying the premium on half yearly basis through the agent.The policy details was clearly explained by the agent ,Still this policy is active.I am paying Rs.10,000 premium for this policy.",sikar,Life Insurance,I have taken Life Insurance policy direclty through LIC agentThe policy tenure is for 30 years and paying the premium on half yearly basis through the agentThe policy details was clearly explained by the agent Still this policy is activeI am paying Rs10000 premium for this policy,positive,0.59,0.35,0.06,,
Best  Service,LIFE INSURANCE CORPORATION OF INDIA,4,I have taken Life Insurance policy through LIC agent .The policy tenure is for 20 years .The premium is paid on quarterly basis and all the details about the policy was shared by the agent.I am paying the premium through the agent .There was no drawbacks faced so far .,sikar,Life Insurance,I have taken Life Insurance policy through LIC agent The policy tenure is for 20 years The premium is paid on quarterly basis and all the details about the policy was shared by the agentI am paying the premium through the agent There was no drawbacks faced so far,positive,0.6,0.11,0.28,,
Good Service,LIFE INSURANCE CORPORATION OF INDIA,3,I have taken Life Insurance policy through LIC agent.This was a maturity benefit policy and the tenure is for 20 years and I am paying the premium on monthly basis through ECS  and not yet faced any issues. The process was smooth and there was no drawbacks faced so far.,arakkonam,Life Insurance,I have taken Life Insurance policy through LIC agentThis was a maturity benefit policy and the tenure is for 20 years and I am paying the premium on monthly basis through ECS and not yet faced any issues The process was smooth and there was no drawbacks faced so far,positive,0.97,0,0.03,process,
Good Plan,ICICI PRUDENTIAL,4,"I have taken my term insurance from ICICI prudential. I have trusted this bank because its a top most high, that is the reason i have chosen them. I'm happy about the claim ratio. I'm satisfied with the sum assured amount. I have chosen the annual payment mode after 1 year, i will change the payment mode on a monthly basis.",rajahmundry,Life Insurance,I have taken my term insurance from ICICI prudential I have trusted this bank because its a top most high that is the reason i have chosen them I Am happy about the claim ratio I Am satisfied with the sum assured amount I have chosen the annual payment mode after 1 year i will change the payment mode on a monthly basis,positive,1,0,0,claim ratio,
Best Plan,LIFE INSURANCE CORPORATION OF INDIA,4,"Purchased my life insurance policy from LIC because my friend is working as a LIC agent and i do not have idea about the plan name. I have been paying the premium amount of Rs. 15000 per year and i make the payment through online and through cash. Overall, I'm happy about the plan.",rajahmundry,Life Insurance,Purchased my life insurance policy from LIC because my friend is working as a LIC agent and i do not have idea about the plan name I have been paying the premium amount of Rs 15000 per year and i make the payment through online and through cash Overall I Am happy about the plan,positive,1,0,0,plan,
Useful Plan for the child education,HDFC LIFE,4,"My life insurance was purchased from HDFC LIFC. When i purchased the credit card, they have approached me for the life insurance and its child plan hence the premium amount is automatically deducted from my account. I didn't compare this policy with other plan. Its a tax benefitable policy.",chennai,Life Insurance,My life insurance was purchased from HDFC LIFC When i purchased the credit card they have approached me for the life insurance and its child plan hence the premium amount is automatically deducted from my account I did not compare this policy with other plan Its a tax benefitable policy,positive,0.95,0.05,0.01,,
Good ,METLIFE,4,"I have taken a life insurance policy from MET LIFE INSURANCE COMPANY. The coverage value was  
Rs. 25,00,000 and also it covers all types of death and i am paying premium of Rs. 18,000 yearly.This is a life long policy in the age of 70 i will be getting some returns.",vijayawada,Life Insurance,I have taken a life insurance policy from MET LIFE INSURANCE COMPANY The coverage value was Rs 2500000 and also it covers all types of death and i am paying premium of Rs 18000 yearlyThis is a life long policy in the age of 70 i will be getting some returns,negative,0.22,0.14,0.64,,
Good Service,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken Life Insurance policy directly through LIC agent.This was a maturity benefit policy .This policy tenure is for 15 years and paying the premium through agent.I am paying the premium on yearly basis and it is Rs.7000.Each and every details about the policy was clearly shared by the agent.,surat,Life Insurance,I have taken Life Insurance policy directly through LIC agentThis was a maturity benefit policy This policy tenure is for 15 years and paying the premium through agentI am paying the premium on yearly basis and it is Rs7000Each and every details about the policy was clearly shared by the agent,positive,0.63,0.36,0.01,,
Good insurer,LIFE INSURANCE CORPORATION OF INDIA,5,"I have taken a life insurance with LIC on 6 years before. My father has applied this insurance for me. It covers up to myself with tenure of 16 years.  At the time when I taken this insurance, agent has given all the details about this policy and provided hard copy documents on time. The premium amount use to pay on quarterly basis.",hyderabad,Life Insurance,I have taken a life insurance with LIC on 6 years before My father has applied this insurance for me It covers up to myself with tenure of 16 years At the time when I taken this insurance agent has given all the details about this policy and provided hard copy documents on time The premium amount use to pay on quarterly basis,positive,0.7,0.28,0.02,,
Not a correct policy at a current situation,MAX LIFE INSURANCE,3,"I had chosen Max Life Insurance policy without any reason. When I want to avail the life insurance policy, they have respond me properly. I bought the policy on 13 years before. They are providing the sum assured amount of Rs. 4.30 lakhs. I have been paying the premium on a monthly basis.",coimbatore,Life Insurance,I had chosen Max Life Insurance policy without any reason When I want to avail the life insurance policy they have respond me properly I bought the policy on 13 years before They are providing the sum assured amount of Rs 430 lakhs I have been paying the premium on a monthly basis,positive,0.85,0.12,0.03,,
Excellent Service,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken Life Insurance policy through LIC agent.I have maturity benefit policy which is very useful.The agent clearly explained the process of this policy and still this policy is active.I am paying this premium on yearly  basis and the premium of Rs.12800is paid through online  .I am satisfied  with the service.,mumbai,Life Insurance,I have taken Life Insurance policy through LIC agentI have maturity benefit policy which is very usefulThe agent clearly explained the process of this policy and still this policy is activeI am paying this premium on yearly basis and the premium of Rs12800is paid through online I am satisfied with the service,positive,1,0,0,service,
Excellent Service,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken Life Insurance policy through LIC agent.I have maturity benefit policy which is for the tenure of 10 years.The agent clearly explained the process and still this policy is active.I am paying this premium on quarterly basis. I am comfortable with the service.,mumbai,Life Insurance,I have taken Life Insurance policy through LIC agentI have maturity benefit policy which is for the tenure of 10 yearsThe agent clearly explained the process and still this policy is activeI am paying this premium on quarterly basis I am comfortable with the service,positive,1,0,0,service,
Good Policy,LIFE INSURANCE CORPORATION OF INDIA,4,I don't use any support from LIC. My life was insured with them  because based on the parents recommendation. I pay the premium amount of Rs. 28000 per year and they are providing the sum assured amount of Rs. 2.50 lakhs and its a 20 years term period of policy. Its covered for tax benefit as well.,jodhpur,Life Insurance,I do not use any support from LIC My life was insured with them because based on the parents recommendation I pay the premium amount of Rs 28000 per year and they are providing the sum assured amount of Rs 250 lakhs and its a 20 years term period of policy Its covered for tax benefit as well,positive,0.7,0.05,0.25,,
Family safety policy,LIFE INSURANCE CORPORATION OF INDIA,4,"My Colleague is working as a LIC agent hence he referred me about the life insurance policy from their company. I am paying the premium amount of Rs. 6,000 on a quarterly basis and its a 15 years term period policy which covers for 10L sum assured amount. Their agent used to visit my place to collect the premium.",dindigul,Life Insurance,My Colleague is working as a LIC agent hence he referred me about the life insurance policy from their company I am paying the premium amount of Rs 6000 on a quarterly basis and its a 15 years term period policy which covers for 10L sum assured amount Their agent used to visit my place to collect the premium,positive,0.62,0.37,0.01,,
Good Policy,LIFE INSURANCE CORPORATION OF INDIA,5,I have bought my child benefit policy from LIC. This company  is a trusted company since its a government undertaken one. I pay the premium amount of Rs. 1.40 lakhs on every year. It provides me a coverage value of Rs. 25 lakhs. It has term period of 15 years.,bulandshahr,Life Insurance,I have bought my child benefit policy from LIC This company is a trusted company since its a government undertaken one I pay the premium amount of Rs 140 lakhs on every year It provides me a coverage value of Rs 25 lakhs It has term period of 15 years,positive,0.97,0.03,0,company,
Good,,5,"I have purchased many policies from LIC and the main one in Jeevan Anand policy. Its because of the Government undertaken policy and this company has many more benefits so that i have chosen it. I have been paying the premium amount of Rs. 19,400 per year. They are giving a sum assured amount of Rs. 8 lakhs.",bulandshahr,Life Insurance,I have purchased many policies from LIC and the main one in Jeevan Anand policy Its because of the Government undertaken policy and this company has many more benefits so that i have chosen it I have been paying the premium amount of Rs 19400 per year They are giving a sum assured amount of Rs 8 lakhs,positive,0.98,0.01,0,,
Policy is very good,LIFE INSURANCE CORPORATION OF INDIA,4,"Jeevan Rakshak is a very useful and its also covered a  health policy. LIC customer is very good but management department is not active. But its  very small policy because I can invest maximum up to 2L and the minimum amount is Rs. 75,000. Term period between 12 to 20 years.",parvathipuram,Life Insurance,Jeevan Rakshak is a very useful and its also covered a health policy LIC customer is very good but management department is not active But its very small policy because I can invest maximum up to 2L and the minimum amount is Rs 75000 Term period between 12 to 20 years,positive,0.99,0,0,Jeevan Rakshak,"policy, management department"
Good Service,LIFE INSURANCE CORPORATION OF INDIA,5,New Endowment plan is a very good plan from LIC. For the child education and marriage i can invest the money in this policy because we get a triple bonus. Its a 1 lakh policy along with the bonus we can get 1.5 lakh hence the customer will receive Rs. 2.5 lakhs at the time of maturity. This plan has a term period of 30 years in that i need to pay money till 17 years.,parvathipuram,Life Insurance,New Endowment plan is a very good plan from LIC For the child education and marriage i can invest the money in this policy because we get a triple bonus Its a 1 lakh policy along with the bonus we can get 15 lakh hence the customer will receive Rs 25 lakhs at the time of maturity This plan has a term period of 30 years in that i need to pay money till 17 years,positive,1,0,0,"plan, New Endowment plan",
Very Good Policy,LIFE INSURANCE CORPORATION OF INDIA,5,"LIC is providing the good service to the customers. Since I'm working as a LIC agent, i bought the Jeevan Anand policy. This  is a life security policy. I have been paying the premium amount of Rs. 7,500 on a annual basis. Total term period of the policy is 17 years.",parvathipuram,Life Insurance,LIC is providing the good service to the customers Since I Am working as a LIC agent i bought the Jeevan Anand policy This is a life security policy I have been paying the premium amount of Rs 7500 on a annual basis Total term period of the policy is 17 years,positive,1,0,0,service,
Good Service,LIFE INSURANCE CORPORATION OF INDIA,3,"I have taken Life Insurance policy through LIC agent .This was a maturity benefit plan and there was no difficulties faced so far .The tenure of this this insurance of 15 years and paying the premium on monthly basis the premium of Rs.3,200  through online.",nanded,Life Insurance,I have taken Life Insurance policy through LIC agent This was a maturity benefit plan and there was no difficulties faced so far The tenure of this this insurance of 15 years and paying the premium on monthly basis the premium of Rs3200 through online,positive,0.94,0.01,0.05,,
Good Service,LIFE INSURANCE CORPORATION OF INDIA,4,I have taken Life Insurance policy directly through LIC agent .This was a money back policy taken with  tenure of 15 years .Need  to pay the premium within 6 months of time .The policy detail was clearly explained by the agent.I have not undergone any drawbacks.,patiala,Life Insurance,I have taken Life Insurance policy directly through LIC agent This was a money back policy taken with tenure of 15 years Need to pay the premium within 6 months of time The policy detail was clearly explained by the agentI have not undergone any drawbacks,positive,0.91,0.02,0.07,,
Best  Service,LIFE INSURANCE CORPORATION OF INDIA,4,I have taken Life Insurance policy through LIC agent and need to pay the premium within 6 months .I am paying the premium through the agent and the tenure is for 15 years  .The policy detail was clearly shared by the agent .This policy is still active and there was no drawbacks faced so far .I am satisfied with the service totally.,surendranagar,Life Insurance,I have taken Life Insurance policy through LIC agent and need to pay the premium within 6 months I am paying the premium through the agent and the tenure is for 15 years The policy detail was clearly shared by the agent This policy is still active and there was no drawbacks faced so far I am satisfied with the service totally,positive,1,0,0,"service, policy",
Good Service,LIFE INSURANCE CORPORATION OF INDIA,5,"I have taken Life Insurance policy directly through LIC agent .This is a Child  plan  policy and the tenure is for 18 years .The premium is paid on yearly basis need to pay Rs.6,500 and got the policy documents on time without any delay . I have got all the required  details about the policy very clearly through the agent. This policy is very useful for my child after 18 years it can be use for education as well as for personal use.",surat,Life Insurance,I have taken Life Insurance policy directly through LIC agent This is a Child plan policy and the tenure is for 18 years The premium is paid on yearly basis need to pay Rs6500 and got the policy documents on time without any delay I have got all the required details about the policy very clearly through the agent This policy is very useful for my child after 18 years it can be use for education as well as for personal use,positive,1,0,0,policy,
Good Service,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken Life Insurance policy directly through LIC agent .This is a money back policy and the tenure is for 12 years .This premium is paid on yearly basis need to pay Rs.25000  and got the policy documents on time without any delay . I have got all the relevant details about the policy very clearly through the agent .This policy is very useful for family and i am satisfied with the service .,surat,Life Insurance,I have taken Life Insurance policy directly through LIC agent This is a money back policy and the tenure is for 12 years This premium is paid on yearly basis need to pay Rs25000 and got the policy documents on time without any delay I have got all the relevant details about the policy very clearly through the agent This policy is very useful for family and i am satisfied with the service,positive,1,0,0,"service, policy",
Good Service,LIFE INSURANCE CORPORATION OF INDIA,3,I have taken life insurance policy for money back policy which was taken through LIC agent.The policy tenure is for 15 years and paid the premium through the agent .The premium is paid on yearly basis  .I have received my policy documents on time without any delay.,dhule,Life Insurance,I have taken life insurance policy for money back policy which was taken through LIC agentThe policy tenure is for 15 years and paid the premium through the agent The premium is paid on yearly basis I have received my policy documents on time without any delay,positive,0.79,0.19,0.01,,
Good Service,LIFE INSURANCE CORPORATION OF INDIA,4,I have taken life insurance policy directly through LIC agent This is a Money back policy and the tenure is 15 years .I am paying the premium on quarterly basis through online .The policy detail was shared by the agent very clearly and there was no difficulties faced as well. I am satisfied with the service .,raigarh,Life Insurance,I have taken life insurance policy directly through LIC agent This is a Money back policy and the tenure is 15 years I am paying the premium on quarterly basis through online The policy detail was shared by the agent very clearly and there was no difficulties faced as well I am satisfied with the service,positive,1,0,0,service,
Good Service,LIFE INSURANCE CORPORATION OF INDIA,4,I have taken life insurance policy directly through LIC agent .This policy is a maturity benefit policy and the tenure is for 20 years .I am paying the premium through online on quarterly  basis . The policy detail was clearly shared by the agent. I am satisfied with  the service.,raigarh,Life Insurance,I have taken life insurance policy directly through LIC agent This policy is a maturity benefit policy and the tenure is for 20 years I am paying the premium through online on quarterly basis The policy detail was clearly shared by the agent I am satisfied with the service,positive,1,0,0,service,
Best policy,LIFE INSURANCE CORPORATION OF INDIA,4,"I have taken a life insurance in LIC for 20 years . The policy maturity get after my  retirement only. I am paying premium on monthly package the amount which is nominal Rs.14,000 and it will get auto debit from my salary account.
While getting a policy my agent has given an information about the policy details. It covers myself. It is a jeevan anand  policy and the policy coverage was Rs. 25,00,000.",haveri,Life Insurance,I have taken a life insurance in LIC for 20 years The policy maturity get after my retirement only I am paying premium on monthly package the amount which is nominal Rs14000 and it will get auto debit from my salary account While getting a policy my agent has given an information about the policy details It covers myself It is a jeevan anand policy and the policy coverage was Rs 2500000,neutral,0.43,0.55,0.02,,
Good insurer,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken a life insurance with LIC on 5 months before.  While taking this policy the agent has given all details and provided hard copy documents on time. Payment option was bit lesser rate when compare to other. The scheme is good. I have directly contact them to apply this insurance. It is a term plan policy with tenure of 25 years. I use to pay premium on yearly basis of 24K and provide cheque to agent.,bareilly,Life Insurance,I have taken a life insurance with LIC on 5 months before While taking this policy the agent has given all details and provided hard copy documents on time Payment option was bit lesser rate when compare to other The scheme is good I have directly contact them to apply this insurance It is a term plan policy with tenure of 25 years I use to pay premium on yearly basis of 24K and provide cheque to agent,positive,0.99,0.01,0.01,scheme,
Good insurer,LIFE INSURANCE CORPORATION OF INDIA,4,Already I had taken a life insurance with LIC approximately would be on 10 years before. Since my parent has applied for this insurance so I am not aware much details about it. Their service is very helpful and if I faced any issue get resolved on time. It covers my whole family. Cleared all the payments now.,tirupur,Life Insurance,Already I had taken a life insurance with LIC approximately would be on 10 years before Since my parent has applied for this insurance so I am not aware much details about it Their service is very helpful and if I faced any issue get resolved on time It covers my whole family Cleared all the payments now,positive,1,0,0,service,
Good,LIFE INSURANCE CORPORATION OF INDIA,5,"I have taken a LIFE INSURANCE POLICY FROM LIC since 8 years. I am paying monthly premium of Rs.1000 through cash. The first thing is its a Nationalized and executive was very close to me, so i took this policy and even I like the policy benefits.The agent is very supportive and providing proper guidance. This is a money back policy i will be getting some returns after 18 years.",coimbatore,Life Insurance,I have taken a LIFE INSURANCE POLICY FROM LIC since 8 years I am paying monthly premium of Rs1000 through cash The first thing is its a Nationalized and executive was very close to me so i took this policy and even I like the policy benefitsThe agent is very supportive and providing proper guidance This is a money back policy i will be getting some returns after 18 years,positive,1,0,0,"executive, agent",
Good Service,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken Life Insurance policy through LIC agent .This was a maturity benefit policy .The tenure is 10 years and paying the premium amount directly to  agent .The agent  has shared complete details about the policy.I am paying the premium on half yearly basis .I am totally satisfied with the service.,ajmer,Life Insurance,I have taken Life Insurance policy through LIC agent This was a maturity benefit policy The tenure is 10 years and paying the premium amount directly to agent The agent has shared complete details about the policyI am paying the premium on half yearly basis I am totally satisfied with the service,positive,1,0,0,service,
Good,LIFE INSURANCE CORPORATION OF INDIA,5,"I have taken the life insurance policy that is LIC JEEVAN ANAND. The first thing is, its a Nationalized and this is a term policy for 16 years after tenure over i will be getting some good returns of Rs. 8,00,000. In case of my death amount goes to the nominee.",rajahmundry,Life Insurance,I have taken the life insurance policy that is LIC JEEVAN ANAND The first thing is its a Nationalized and this is a term policy for 16 years after tenure over i will be getting some good returns of Rs 800000 In case of my death amount goes to the nominee,positive,0.79,0.05,0.17,,
Good,LIFE INSURANCE CORPORATION OF INDIA,3,"I am paying monthly premium of Rs.30,000. I have taken the life insurance policy from LIC . The first thing is its a Nationalized policy and even I like the policy benefits.The agent is very supportive and providing proper guidance.This is a money back policy and the term is 12 years, after 12 years i am getting some returns.This is a 15 years policy.",pune,Life Insurance,I am paying monthly premium of Rs30000 I have taken the life insurance policy from LIC The first thing is its a Nationalized policy and even I like the policy benefitsThe agent is very supportive and providing proper guidanceThis is a money back policy and the term is 12 years after 12 years i am getting some returnsThis is a 15 years policy,positive,1,0,0,agent,
